@relation opinion
@attribute sentence string
@attribute category {positive,negative,neutral,objective}
@attribute numberOfPositiveWords integer
@attribute numberOfNegativeWords integer
@attribute numberOfNeutralWords integer
@data
' police: remain silent. hel me: harry styles ',neutral,0,0,0
' "happy valentines day" lulwhuuuut? guess february weather though... ',positive,0,0,0
' #torchlight2 tomorrow. torchlight list best games time. better diablo iii. 2 promises more. ',positive,2,0,0
' will consider arsenal potential win premier league season beat manchester united tomorrow. ',positive,3,0,1
' wrote great song mitch daniels! forward performing thursday! :) ',positive,1,0,0
' saturday all. question - giroud torres? superbowl switches comerica park game 3. where? ',objective,0,1,0
' playing mass 3 multiplayer pc alittle bit.now gonna watch friday 13th amc channel. @theraychul ',objective,0,0,0
' â€œ@joelpollak: red tape? jersey turns nonunion relief crews @breitbartnewsâ€? @govchristie hmmm ',positive,1,0,0
' tuesday, harry redknapp distanced job speculation planning talks club. ',negative,0,0,1
' excited trunk treat tomorrow (nov 2) night boys girls club pottstown. will start at... ',positive,3,0,0
' ahhhhh hoodie tomorrowwwwww. good morning. ',positive,1,0,0
' cant wait west chester ohio rally mitt tomorrow night great gov oh! #romneyryan2012 @mitt_oh @mittromney ',positive,2,0,0
' murray dallas cowboys felix questionable atlanta game. good running backs! ',negative,1,1,0
' "@espnnfl: rivers entered cmon man territory int zone -- #chargerfansbooing" hashtag ',neutral,0,0,0
' follow tweet, bills dt kyle williams expected play sunday. resting ankle week. ',objective,0,0,0
' obama 40k early voting advantage nevada 80k mon wins 70k loses toss ',objective,1,0,0
' lol david letterman re: hanging crane nyc "so gonna tomorrow @kateupton stick upright" #amazing ',positive,0,0,0
' weekend begins!!! ',positive,0,0,0
' â€œ@telle19: @noraineanciano ako sa cebu december :))â€?-- feb pa aq blik :) ',neutral,0,0,0
' @hollydenyerxx yup, correct. â˜º aah ill remember accident thought wow, cute.. ðÿ˜š ',positive,0,1,1
' wonder chris christie cancel valentines day move april..flowers cheaper! ',neutral,1,0,1
' literally hate people stare car ',neutral,0,1,0
' overlooked sandy, summery mid-upper 70s sunshine today cny. record high 79 set buffalo. warmth friday! ',neutral,1,0,1
' taiwan court extends ex-leaders jail term - taipei: taiwans high court friday extended ex-leader chen ... ',objective,2,0,1
' art @carolinemanzo: nyc host marathon sunday?..why soooo desperately help,where respect ',negative,1,1,0
' @mango_ali hows game? ',positive,0,0,0
' lady gaga fears classmates: los angeles, nov 1 (ians) singer lady gaga touch people h... ',negative,0,3,1
' wanna fresh walleye? caught em today! ',positive,1,0,0
' richard wright? man city signed amateur footballer? ',positive,0,0,0
' @ukbieberday justin going tea time sophia grace rose tomorrow ellen 4 :) ',positive,1,0,0
' "@matty_b30: @bamberwove a... ghost!!" dont that! will ghost hunters here! ',neutral,1,0,0
' happy year "anno domini". shana tovah & good jazz! forward chinese year feb. ',positive,2,0,0
' watching grey liam neeson. twitter friends recommend. good. tuesday nights entertainment. ',positive,1,0,0
' sandusky costumes poor taste today, joe pa statue happy valley legit. pic.twitter.com/pm8zzdyz ',negative,2,1,0
' hello dublin! tomorrow playing button factory. onstage 9, @toquiwa_jp 8, regret it! ',positive,0,1,0
' live! ufc fuel tv! 1st fight day :) ',positive,0,1,0
' @whiteboytatted @paperchaseent_ yall tryna fuck chapel hill tomorrow night??? ',negative,0,0,0
' @real_liam_payne saturday, buy ticket #tmhtour belgium! happy! ',positive,0,0,0
' #grooves (2300 pierce) friday sept28th kendrick perkins nba camp party @kdtrey5 okc teammates | pic.twitter.com/8f0y973j ',objective,0,0,0
' red eye flight sat. night 1am pst w/ layover dallas cst clocks pushed hour. ',negative,0,0,0
' best thing thursday night definitely celebrity juice #hilarious ',positive,3,0,0
' ima watch twilight ! way! ',positive,0,0,0
' friday night dead. suppose bed, watch spartacus nurse glass rum coke:( #sendmetoasleep ',negative,0,0,1
' @mg91 dickens tomorrow night mate? ',neutral,0,0,0
' love johnny june? love blake miranda. #lovethem #obsessed ',positive,2,0,0
' noel gallagher tomorrow.. cant wait legend!!!!! ',positive,0,0,0
' @sobotucker debunking reports consumed 14 hot dogs sitting martinsville speedway press box. closer 6-8. ',negative,2,0,0
' chasing northern lights alan tan. nice article photo yest straits times - 30 oct c9. ',positive,1,0,0
' nick diaz start pk 2nd straight week. ',objective,1,0,0
' bill boards christmas cvs candy christmas, 22 days black friday ',neutral,0,1,0
' fact trapatoni doesnt speak proper english lack commitment job. ',neutral,2,1,1
' gonna hit victor cruz classes cancelled tomorrow ',negative,0,0,0
' excited day green sunday january 27th - australia day long weekend! are... ',positive,1,1,0
' daniels good-humored comedy show: indiana gov. mitch daniels good sport thursday appeared "t... ',positive,1,1,0
' making sign #kates nyc marathon sunday @alznyc charity. think? good art.... pic.twitter.com/y6eq2w0i ',objective,1,0,0
' @mitchythomas92 haha sounds better plan! ',positive,1,0,0
' "happy valentines day" awkward cuz def february 14th u.s.... ',positive,0,1,0
' nights dream ace itll happen nonono spector:(( ',positive,1,0,0
' nasheed, endorsed coni report today. dont change mind tomorrow ',neutral,0,1,0
' michael jackson radio softest stations. damn good jams. ',positive,1,1,0
' denzel washington & brian geraghty gear heck ride exclusive clip flight! tomorrow. ',objective,1,1,0
' wacky wednesday promo, going bit ground hog day!!! wacky wednesday promo, going bit... ',negative,0,0,0
' close eyes sun going down. youll alright hurt now. morning light will safe sound... ',positive,3,2,0
' spending friday night main man charles dickens. ',neutral,0,0,0
' q1 5:30. alex smith pass kyle williams san francisco 38 6 yards. 1st & 10. ',objective,0,0,0
' #drewpeterson missing drew peterson yet? lifetime re-airing movie sunday. stars *gasp* rob lowe peterson ',neutral,1,0,0
' meet man making documentary defending joe paterno: (he familiar) ',neutral,0,0,0
' celebrate thanksgiving :( amazing holiday ',negative,2,0,0
' worse stuck time loop groundhog day? stuck monday loop. ',negative,0,1,0
' monta ellis : "we 4th 6th place east" ',objective,0,0,0
' @_simply_da_best yeah hopefully ',positive,1,0,1
' meet london 1-4pm saturday, 3/11/12 belgium 8/11/12 11-2pm there! ',objective,0,0,0
' #hulu jimmy kimmel live - axl rose, 1: 1 jimmy kimmels interview axl rose.added: thu oct 25 1... ',objective,1,0,0
' *if* pbo loses, ds will blame: denver debate;fox;race;economy;pbo remoteness;biz conflict;staff;no 2nd term agenda;failure 2 sell 1st term ',negative,1,0,0
' jason wu - lace, bandeau tops, harnesses debut 4th bag line, carolyn #jasonwu #nyfw ',objective,0,0,0
' video @edsheeran singing acapella fucking sold arena crying. ',objective,0,0,0
' wth apple? 1st apple 10 employees working, wait 10 mins check out. wake tim cook!!! ',negative,0,0,0
' training done...raining here! love jumeirah zabeel saray dubai relaxing family fantastic resort & staff! ',negative,2,0,0
' " soul train" oct 27 halloween special ft t.dot finest rocking mic...crazy cactus night club ..adv ticket $10 wt costume $15... ',positive,1,0,0
' tickets selling well northern lights talk @kielder_obs thurs 8 nov, 6.30pm central library. book ',positive,1,0,1
' rehearsal wedding cuz @chico_a_dusty83 going pro bowl... big day tomorrow! ',positive,1,0,1
' watch safe house 1st time... #redbox #latepass ',neutral,1,0,0
' rockets 15 assists 1st half. lin harden dimes. ',objective,0,1,0
' great night, ready another.. google+ hangout rockets fans. sign | pic.twitter.com/khxj5t2o ',positive,2,0,0
' safe sound 57th 11th...hoping clean sandy path. love all! ',positive,4,0,0
' happy valentines day ? thought stupid #valentine 14th feb. ',negative,1,1,1
' never, ita never! best kind. play hats ray lewis 52 #thegreatest ',positive,1,0,0
' appointment bellamy tomorrow... moving semester #excited ',positive,1,0,0
' talks eli manning best 4th qtr. jay cutler best qbr rating 4th qtr nfl #getsome #dabears ',positive,2,0,0
' channing tatum stripper 18th birthday?! ;) ',positive,0,0,0
' decided watch notebook time midnight thursday me, cant crying pic.twitter.com/vnwcr3j5 ',negative,0,0,0
' cundiff released. outta league now, quote tl sunday real ',neutral,1,0,0
' @guildwars2 cmon guys please, dont diablo iii did....... :.( ',negative,0,0,0
' kendrick lamar arguably best hip hop album year opinion ',positive,1,0,1
' lillian bassman images pair jason wu spring/summer 2013 runway #photography #art #design #fashion ',objective,0,0,0
' carrie underwood grammys! #yourargumentisforeverinvalid ',objective,0,0,0
' ipod doesnt kasabian much- laptop crashed time syncing empire. 10th time lucky... ',negative,0,0,0
' proactive health! dont sundays live google+ hangout genetic... ',positive,2,0,0
' dont tomorrow. ): ',negative,0,0,0
' democratic leaders video report & coni report & find truth 7th feb maldives ',objective,2,0,0
' dear @misskahi @ssosso_1004 finally tomorrow dream high 2 will aired country...finally again^^ alot~~ ',positive,3,0,2
' going duke game saturday. haha. duke. whata joke are. ',negative,1,1,0
' channel 4 30 years friday! doh great programmes years, paul hogan. ',positive,1,0,0
' monday night football #ciscos..win chance going hawaii pro bowl !!! happy hour night ',positive,2,0,0
' @real_liam_payne guess going december 3rd concert msg! #thisgirl ',neutral,0,0,0
' thursday jesse black casselberry, fl girls ',positive,0,1,0
' recorded wanted celebrity juice missed it, ill stream saturday it? ',neutral,1,1,0
' dishonoured awesome! sure rank it. journey walking dead two. 4th mass 3. ',positive,1,2,0
' guess star 5th greatest women won grammy awards singer? ',positive,2,0,0
' nta covered live return 1st lady. ',objective,1,0,0
' larry bird ole 3pt contest... tonight alfred e. smith dinner #romney 1st absolutely crushed it. #obamafailed ',positive,0,0,1
' working overtime elect mitt. 50 radio appearances homestretch. huckabee national radio friday. ',objective,0,0,0
' @catmscully *gasp* realized pumpkin decorating coming up. bet carve killer pumpkin. artsy :) ',objective,0,1,0
' @hbblanks mind gap. fell love ðÿ˜? ',positive,1,2,0
' november 1 means. youll valentines day stuff walmart soon. #celebratetherightholiday ',positive,0,0,0
' janowicz #221 january win murray today takes #46 - good year! mega potential! #36 beats tipsarevic. ',positive,1,0,0
' tune 2 p.m. tomorrow google+ hangout political reporters discuss 2012 election ',objective,0,0,0
' well busy!!! excited tomorrow! cebu go! ',positive,2,0,0
' wow!!! omg today 21st birthday woke @jennettemccurdy me! knew day come! jennette! <3 ',positive,0,0,1
' rvp shit afc moving mufc, served brilliantly 8 years, will fans shit saturday? #cantwaittofindout! ',neutral,3,0,0
' today match ach ljubljana, 2nd game champions league! ',neutral,0,1,0
' boys: calvin watkins explains sunday night games bad luck cowboys and... ',negative,1,1,0
' favorites russia-portugal clash - capello: moscow, october 11 (ria novosti) - russias match portu... ',negative,0,1,0
' going kendrick lamar @pea_starks jan :d ',positive,0,0,0
' 32km completed. ow everything. ',neutral,0,0,0
' hope enjoyed ben amos welton monday? dont forget @dwindass10 will market weighton coming monday 1st ',positive,2,1,0
' november 16 breaking dawn 2 coming gonna watch ? ',objective,1,0,0
' #halloweenfacts #halloween recognized 3rd biggest party day years super bowl sunday. ',positive,1,0,0
' ghetto center world: chungking mansions, hong kong ',objective,0,1,0
' dr. mohamed morsi announced egypts 1st elected president glorious 25th jan revolution. congratulations #egypt ',positive,2,0,0
' los poboycitos debut 2 songs forthcoming cd tomorrow wwoz 90.7 fm orleans noon cst. ',objective,0,0,0
' henry winter calling tonights game defining moment hodgsons england career. yawn. ',positive,0,1,0
' idk! (live ',positive,0,0,0
' flight starring denzel washington good ass movie tomorrow ',positive,1,0,0
' -- three -- tweets 9000. mention pouring wine friday night diablo iii. #meta #classy ',positive,0,0,0
' art walk tomorrow night perform original acoustic guitar songs coni franc 6pm-9pm!!! ',objective,1,0,0
' mizzou moves start time opener w/ siue november 10th football. #siuenation ',neutral,0,0,0
' nick diaz suspended, manager set fight, match josh koscheck... ',neutral,0,0,0
' bale doesnt celebrate goal races cuddling dempsey 2nd. illustrates perfectly bullshitting spotlight whores are. ',negative,2,0,0
' realize bellamy freshman qb play selection leaves lot desired, option toss 3rd 7 #cmonman ',negative,0,0,0
' kaya punya uang aje ! :p rt: @goal_intl: ac milan reportedly miralem pjanic join san siro january (corriere dello sport) ',objective,0,0,0
' "@coryjane1080: aboard... 1st flight hong kong uk there.. #tweet_yah_later" enjoy ',positive,1,0,0
' surprised lowry couple triple-doubles season. #raptors #rtz ',positive,0,0,0
' stamford bridge individually slap single human stadium. ',negative,0,1,0
' wednesday, october 24, season 3 american idol contestant jennifer hudson channeled upcoming holiday ... ',objective,1,0,0
' watching drew peterson movie lifetime spark conversation mapes class tomorrow @myles_collier21 @nia_girlbow ',neutral,0,0,0
' parents& guidance staff annual academic signing day thursday! ill post photos soon! ',positive,1,1,0
' @bieberandhazza what? :d ',negative,0,0,0
' day soon, sun gonna shine. she...couldnt wrong! valentine. ',negative,0,0,0
' jeremy lin +23 rockets debut. 2nd-best plus-minus game career. ',positive,0,1,0
' yes, tonight! #blogger19 #brizofw tk @brizo fab event, presents too! extra suitcase! pic.twitter.com/ijwnmjrv ',positive,0,0,0
' @chemicaljericho @xcescacenax yeah, yeah, armor better way, lariats better mine too. =p ',positive,2,0,0
' lol deadskins signed kicker ',positive,0,0,0
' @fckyeahalyssa aye mah dude alondraa abouut going bell game tomorrow? ',neutral,0,1,0
' type. saturday nights "stay night fellas 360" night, ill dive paternos bio. ',neutral,0,1,0
' sneak peek: check 12 freebies cvs black friday! link comment: ',positive,0,2,0
' havent good guide yet, check online. challenge starts nov 1 - appreciate support!... ',positive,2,1,0
' oingo boingo (well, band) tomorrow & leonard cohen monday. #dudeimstoked ',positive,0,0,0
' harry redknapp 2nd favourite 7/4 blackburn boss!! venkys happen!!!! #makeredknapparover ',positive,0,0,0
' love james bond montage super sunday sky ',positive,2,0,0
' nba news: york knicks will miami heat msg saturday (australian time) season... ',objective,1,0,0
' cant watch rafas "ill back" video end, heartbreaking :( reminded 5/1 ao 5th set... ',negative,0,1,0
' friend @treesmellsnice selling tickets jonas brothers concert @ fort canning monday @ $50/ticket. half price! rt! ',positive,1,0,0
' @ibgdrgn today chinese july 7th valentines day hope will find wishes happy happy valentines day ',positive,5,0,0
' @sml_hulltiger queen follow live aid ',neutral,1,0,0
' harry redknapp tells espn rumours interview blackburn tuesday wide mark: "no chance, playing golf!" ',negative,1,1,0
' @codysio excited northern lights 27th will life. ',positive,2,0,0
' wow rt. 4 years verms arrival. captain will 100th start afc sat. time flies. ',positive,2,0,0
' sat waiting bus beat high score temple #justbecause ',neutral,0,0,1
' rooting lions tonight. why? not? ',positive,0,0,0
' endymion 4th time blieve.! ahaha #teamorjan #clhrday ',objective,0,0,0
' live long beach consider going @parkcrest church 2 hear @bobrobertsjr sat @6 sun @830/10/1130 #boldaslove @vision360lb ',neutral,1,1,1
' kudos gang @wsj, papers nyc today power internet access pic.twitter.com/wb9bb1l3 ',positive,0,0,1
' 3 hrs 2nd episode! josh bradley | david archuleta nandito ako | alwyn ana rs tv5 manila ',objective,0,0,0
' file "affirmations best left unpursued"... rt â€œ@twhiddleston: @robertemms minute half "plowing" time!â€? ',positive,1,0,0
' best talent internship...... "@temasekpoly: sony coming tp friday student talents!" ',positive,2,0,0
' okay, okay...saturday ot worth it...someone portos cheese rolls! yum! ',positive,1,0,0
' club bodi question tonight ',neutral,0,0,0
' eat, friday dont care! #tgif (@ ogalo crows nest) ',positive,0,0,0
' live south orlando area, lookout. @wawa 6th site opening october 30th florida mall! ',objective,1,0,0
' heat knicks best series 1st round.. ',positive,1,0,0
' met cj, banjo player @matrimonyband! neighborhood theatre june 23rd concert! it!! ',positive,0,0,1
' #eskimos signed swayze waters jun 24. released july 10. #cfl ',positive,0,0,0
' open dialog cosponsoring globes "searching social justice" wednesday 6pm. ',neutral,1,0,0
' starts qb friday? play nichols. year. big q4 key targets played calgary. ',objective,0,0,2
' erotic asphyxiation, evanescence, strip clubs kaaba topics discussions today! happy friday?! ',positive,1,0,0
' "brandon weeden going player someday. now" - ron jaworski sunday nfl countdown #countdowntokickoff ',positive,0,0,1
' @burko77_ @jonbrier fai biggest bunch idiots ',negative,0,1,0
' great zulu teacher preschool kids couple friends. contact driver dot aurelia gmail dot com. ',positive,1,0,0
' @q98rocks presents: dethklok machine head, remains, black dahlia murder! tuesday, november 13th venue hub! ',objective,0,1,0
' monday town ballroom: richie hawtin loco dice. dude awesome. tix avail ',positive,0,0,0
' missed russell classic brit awards 2012, donâ€™t worry! catch sunday 14th october itv3 7.20pm... ',neutral,1,0,0
' tonights decider -- will garden friday night knicks/heat game 6? hoping miracle... ',positive,1,1,0
' muslim christmas. hoot..... ',positive,0,0,0
' train naples milan unscheduled 40-minute parma tuesday - drop roma squad ahead tonights game. ',neutral,0,0,0
' call magazine ready pickup copy "hands heal fashion show" nov 4th mr. reggie 404-246-9582 ',neutral,2,0,0
' ready birthday. (((: big sixteen! #sweetsixteen november 22! ',positive,1,0,1
' caught minutes @orjan_nilsens track endymion @siriusxmarea. great track ready work with. friday!! ',positive,2,0,0
' whooped ass kill confirmed @quikgunz @pbrasfieldato, tomorrow makin kats cry gears3 ',positive,0,2,0
' wait till sunday carmelo anthony knicks debut? ',negative,0,0,0
' radio, rihannas birthday cake official 4th july anthem. sounds right. ',neutral,0,0,0
' excited bump ram raspberry pi. nice surprise monday. : ) ',positive,2,0,1
' guess knicks/heat now. pretty clear tomorrows game going happen. ',negative,2,1,0
' @literallyfedup dont pres 2b successful country fail mcconnell said;wld real americans this? no. fanactics! ',negative,2,1,0
' day jeddah. will brunei tomorrow night. surabaya night. bali night that. whee! ',neutral,1,0,0
' brits find feminised versions professions offensive (actress actor), germans theirs. #randomshit ',neutral,0,1,0
' tears sun wayyyyy better valor ',positive,2,0,0
' me& @queenofcol going phuk city sept 15. fairground #battleofthesexes rock men/women ',neutral,0,0,0
' "@hoeshateveziaa_: sooo glad dont school monday , imaaa sleep day man ."we dont!!????? ',positive,1,0,0
' call prayer america saturday washington reflecting pool washington monument the... ',objective,0,0,1
' well ahead download parade tracker app. zulu float bus. ',neutral,1,0,0
' okay. will wake time gameday week. ',neutral,1,0,0
' lucas scott leaves 6th season tree hill peyton travel wolrd?#youjustruinedmylife #fuckyou ',negative,0,0,0
' @4everam_ber *as sat thought* lied. total praise, you, winans joints ',positive,0,0,0
' coolamon rodeo coming november 17! great day action fun day family! ',positive,2,0,0
' perry: morgan state beating howard, 7-0 1st quarter howards homecoming football game. ',neutral,0,0,0
' wanted plies tomorrow ratchets ill pass lol ',neutral,0,1,0
' friday @ elon university campus fest! learn loft check win kindle fire ',neutral,0,0,1
' going south korea japan 7th semester..wow itll amazing #faith ',positive,1,0,0
' good luck joseph calleja tonight brits. appearing royal festival hall friday 11 jan raymond gubbay concert ',positive,2,0,0
' wppi vegas bound, tomorrow 5:30am, s.o.l....maybe catch zzs plane. ',neutral,0,0,0
' monday morning caltrain ride work short. minority opinion. #fb ',negative,0,0,0
' @pretty_blc avi > ',positive,0,0,0
' @akram01arabi fridays main day!!!! knicks heat ',positive,0,0,0
' late night jimmy fallon clips - maya rudolph, @daveannable10, @theavettbros @nbcupallnight @666parkave_abc ',neutral,0,0,0
' anyways, good morning. khader adnans lecture ramallah tomorrow evening 7:00 pm ramallah? it. ',positive,1,1,0
' jennifer aniston prada figure fashion bash - sun: sunjennifer aniston pra... ',neutral,0,0,0
' ghost rider bck action jst w8 19th octobr 3pm ...so guyz start ur engine join rally... ',neutral,0,0,0
' will film mt zion feb man stan walker. shit! cool story bro? :) ',positive,1,0,0
' mfs jus blastin "rella" itz hood saturday shit lolz smh ',negative,0,0,0
' spanish tomorrow. excited motherfucker. dont understand ',positive,2,0,0
' lost ss shirt, gonna wear ss jacket tomorrow ;b ',negative,0,1,0
' lots fun weekend. mardis gras casino friday night 8 midnight. sunday... ',positive,1,0,0
' filming butler tomorrow. havent alan rickman!!!! -explanation- filming movie la ',negative,0,0,0
' exhausted buzzing day 1 #yalta2012. sleep, vitali klitschko speaks tomorrow, challenge arm wrestle... ',neutral,0,1,0
' 1st good evil! real ppl fake mfs!this feel jlin it!not durable yao ming! ',negative,3,1,1
' storm february 9th endymion canceled parades start 7am sunday. #mardigras #nola ',negative,0,1,0
' jlin nice bounce game tonight, hopefully linsanity groove tuesday ',positive,3,1,0
' running strattonfaxon 20k haven ct monday? ',neutral,1,0,0
' side @mytigermytiming gig saturday night lexington - :) ',positive,0,0,0
' known, born november, parents valentine day! ',objective,0,0,0
' nature/religion joke: trees church sunday? strong religious be-leafs #lolle ',objective,1,0,0
' 2nd movie night - ghost rider :") #nowwatching ~ ',neutral,0,0,0
' catholics tomorrow holy day saints lives jesus church. saints defended church!! ',positive,1,0,0
' ready peanut butter jams sponsored party santos party house saturday! good looks... ',positive,2,0,0
' shouts bro @ebow919 !! follow dude turn thursday sunday night club bodi ! #salute ',positive,0,0,0
' @ftankdt9 close knicks season opener! score game. 95-87 knicks ',positive,0,1,0
' #1dfacts 21st february 2012, 8:39pm table 74, direction lifted brit award best british single ',positive,2,0,0
' prayer amazing men god morning, grocery shopping, arrival [2nd] pokemon shirt, purchased big ls album. #cool ',positive,1,0,1
' @dannancarrow news town surely @billybragg murdoch intro scousers dont buy sun? ',neutral,1,0,0
' 1st time drove stick kinda lied salesman ab honda drive standard 5 speed manual #testdrive ',negative,1,0,0
' friendship day coming sunday people reacting valentine day ',positive,1,0,0
' going @netrootsuk 1st london conference critical thought ',neutral,0,1,1
' post rob will kyle jackie tuesday 23nd ',objective,1,0,0
' knicks vs. pacers 2nd round association mode. upset #1 bulls ',negative,0,1,0
' watched valor 4th time - movie. ',positive,1,0,0
' vitali? â€œ@mattup: boxer up-jab good @paulmalignaggi #brooklynboxingâ€? ',objective,1,0,0
' help song choose, read front class tomorrow? seriously... ',positive,1,0,0
' hope youve tickets/tables plies tomorrow night 10/6 belo nightclub z90.3 | san diego!! if... ',positive,1,0,0
' nigga @octobersown91 hit full court handed shot brook lopez...smh, 21st birthday shit ',negative,2,0,1
' westover hs (nc) star cj ford opens season murray state brescia november 9th home. ',objective,1,0,0
' going walgreens tomorrow 75% halloween candy? am! ',neutral,0,0,0
' @timcross_ introduced big 9th grade. deaf real hip hop music 9th grade lol ',neutral,1,1,1
' finally galaxy foams person saturday... <<<<<< smmfh ugly ass shoes! ',negative,0,1,1
' hearing diamonds entered u.s top 5 rih coming snl 10th, true? ',neutral,1,0,0
' pick tomorrow morning bring lax? ',objective,0,0,0
' daily zap: catch highlights mondays action nba. ',objective,0,0,0
' meet dragons den social media week #vancouver sept 28 ',objective,0,1,0
' daily zap: action wednesdays pack daily zap. #nba ',objective,0,0,0
' great read saturday morning coffee. voting pres working social justice, tolerance, & equality. ',positive,1,0,0
' going rough season bulls fanâ€¦ rough year swept miami rough. ðÿ˜” ',positive,0,2,0
' raymonds busy homemade gingerbread lemon icing tomorrows homemade cake. soups will... ',neutral,0,1,0
' @joeski88 this? leaked 2013 kit? pic.twitter.com/3y5koa3i ',negative,0,0,0
' going clutch busters billiards & backroom lexington, ky - dec 28 ',objective,0,0,0
' south korea? unikent excited grad fair seoul tomorrow. join at.... ',positive,2,0,0
' 4 days @byclive london conference saturday - excited network youth councils again! ',positive,1,0,0
' big town won lot awards thought would...#cmas ',neutral,0,0,2
' madonna helped paved road singers rihanna, katy perry , gaga etc.. rih owns road now. ',neutral,0,1,0
' repio ceo neil cox speaking chicagos social media week tomorrow "social media & changing face employment - check it... ',objective,0,0,0
' didnt watch degrassi friday? life? much. ',negative,0,0,0
' 10 things friday: u.s. postal service, brink default second multibillion-dollar p... ',objective,0,0,0
' scoop! elmbridge choir performing brit award classic boy-band blake 24th epsom playhouse! yoohoo cool that! ',positive,2,0,0
' going shoot face day. ',positive,0,0,0
' @emmward soulmate..jsyk..lol..we gotta alan rickman fangirl hearts content!! ',positive,0,0,0
' machine gun kelly concert tomorrow best sister (: #girltime #realtalk (: ',positive,1,0,0
' #khader exists israeli high court will hear case khader adnan thursday. well late. protests? ',negative,3,0,1
' knicks/heat game tomorrow night bibleball? well play watch day! ',negative,1,1,0
' ima lamb god tomorrow hollyweed. punched fuckin face pit ',negative,0,0,0
' demon gaze, next-gen dungeon rpg playstation vita [1st trailer screens]: kadokawa games today ... ',objective,0,2,0
' girls wild commercials? if, god forbid, extras, find out. ',objective,0,1,0
' livication playing friday night dipiazzas! mark calendars, prepare newsfeeds blown info! ',objective,0,0,0
' @frankgravagna happy b-day bro! king cake? ',objective,1,0,0
' @sep29th happy 16th birthday rella . drunk frl . enjoy day & ! ',positive,2,1,0
' "valor" video shoot tomorrow night... hope stupid creative! ',negative,1,1,0
' jul 82 uk heavy metal band judas priest release 8th album screaming vengeance, single "youve thing comin". ',objective,0,0,1
' article senate president enrile interesting :) ',positive,1,0,0
' @harthanson rumors glimmers hope finder fans? ',negative,1,1,0
' sister sat asked katie going sleep. imaginary friend, dont ya think? ',negative,0,1,0
' perth listeners: nick talk food & social justice @ecoxpo @ 3.30 tomorrow (friday) #green #animalrights ',objective,1,0,0
' lil girls singing "birthday cake" .....girl yo 10th birthday day smh lol ',positive,0,0,0
' tears streaming face front know? ',neutral,0,0,0
' guess halloween, lls ðÿ˜?ðÿ˜œðÿ‘»ðÿžƒ ',positive,0,0,0
' centre suffering policy paralysis, alleges jayalalithaa: jayalalithaa tuesday charged upa governme... ',negative,0,1,0
' ahh drivers good today 7 7 tonite elon university ! > .. tomorrow wet wild baby class <3 ',positive,1,1,1
' heat knicks gonna exciting 1st round series ',positive,1,0,0
' place sun. presenter: orange lemon trees person:thats breakfast! the?who oranges lemons breakfast? ',objective,0,0,0
' @laurendrain admire heart, lauren. god, watches rest world, bless keep ',positive,2,0,0
' @katiejohnston89 home? hows holiday? ',negative,0,0,0
' bit participate movember. ',neutral,0,0,0
' prefer vermaelen plays cb player marking van persie, movement else. ',negative,1,0,1
' week 1 olympics, slept 17 hours. record, fine effort... ',positive,1,0,0
' supposed sleep work tomorrow sen. #johnny enriles life interesting keeping awake ',positive,1,1,0
' filming day tomorrow, rest... finish valor ',neutral,1,0,0
' excited @useclear mac...november 8 cant enough! clear ios + mac = minimalistic todo list nirvana. ',positive,2,0,0
' august 11th 2010 day met mitch... regret picture him. fuck. ill going ss shows.... </3 ',negative,0,2,0
' 4 hours science tomorrow grandmas three days kwvr hst standard 4 saturday! #weekendplans ',objective,0,0,0
' watched paranormal activity night tonight stay house myself, fucking brilliant ',negative,1,0,0
' @dutchjools christian kane leverage team recorded tues, finder, sexy!, fun, night night xx ',positive,1,0,0
' find entertaining ash wednesday national margarita day fall day? ',positive,1,1,0
' obama 2012 bumper stickers dont bidens them?... ',positive,0,0,0
' rob kyle jackie oct 23rd: ',objective,0,0,0
' excited nuggets game tomorrow! ',positive,1,1,0
' me, big 3rd best story teller rap. ',positive,1,0,1
' en plein visionnage de "shut play hits!" james murphy est mon dieu... ',neutral,0,0,0
' ipad mini will released 11/2. apple ordered 10 q4 alone. holy cow. ',neutral,2,0,0
' filled depot application....matteson, alsip, orland park, homewood, & cal city moves tomorrow. ',neutral,0,0,0
' cant wait blow paycheck odd future merch -_- #addicted #shopaholic ',positive,0,2,0
' yeay..hopefully runman ep 91 eng will tuesday...cant wait watch it!!!go yooruce willis...yoo jae suk jjang!! ',positive,1,0,0
' burger & blonde friday today @moogb crows nest $2.00 pure blonde burger purchase! ',objective,1,0,0
' cant forgive farrackhan malcolm thing. ninjas aint sht ninjas march...name thing.where the$ ',negative,1,0,0
' iqaluit iqaluit drunks screaming saturday morning ... depressing buggers. ',negative,0,1,1
' zaheer khan injured 1st test, day 1 engs tour. steve finn injured(thigh injury) day 1 1st tour game. hmmm. ',negative,0,0,0
' teams transferred/moved future? sacramento kings, phoenix... ',neutral,0,0,0
' "@_thelondonlook: doubt going hell , pray heaven ."lol type shit ?? ',neutral,1,2,1
' 30-mile bike ride giants weds caltrain going suck cardinals. ',negative,0,0,1
' bel ami strange movie, keep watching....i read book. ',positive,0,1,0
' nba news: york knicks will miami heat msg saturday (australian time) season... ',neutral,1,0,0
' friday going tweet: yay degrassi tonight. #getusedtoit ',neutral,0,0,0
' infinite ranking king final episode eng na. waaa :( ',negative,0,0,0
